Title,Start_Page,Content
Location of Videonotes in the Text,14,"LOCATION OF VIDEONOTES IN THE TEXT Chapter 1 Introduction to Flowcharting, p. 20 Designing a Program with Pseudocode, p. 20 Designing the Account Balance Program, p. 25 Predicting the Result of Problem 33, p. 26 Chapter 2 Using cout, p. 31 Variabe Defi nitions, p. 37 Assignment Statements and Simple Math Expressions, p. 62 Solving the Restaurant Bill Problem, p. 80 Chapter 3 Reading Input with cin, p. 83 Formatting Numbers with setprecision, p. 111 Solving the Stadium Seating Problem, p. 142 Chapter 4 The if Statement, p. 154 The if/else statement, p. 166 The if/else if Statement, p. 176 Solving the Time Calculator Problem, p. 221 Chapter 5 The while Loop, p. 232 The for Loop, p. 247 Reading Data from a File, p. 274 Solving the Calories Burned Problem, p. 293 Chapter 6 Functions and Arguments, p. 311 Value-Returnlng Functions, p. 324 Solving the Markup Problem, p. 366 Chapter 7 Accessing Array Elements With a Loop, p. 380 Passing an Array to a Function, p. 407 Solving the Chips and ..."
1.1 Why Program?,32,"Why Program? CONCEPT: Computers can do many different jobs because they are programmable. Think about some of the different ways that people use computers. In school, students use computers for tasks such as writing papers, searching for articles, sending e-mail, and partici- pating in online classes. At work, people use computers to analyze data, make presentations, conduct business transactions, communicate with customers and coworkers, control machines in manufacturing facilities, and do many other things. At home, people use computers for tasks such as paying bills, shopping online, social networking, and playing computer games. And don’t forget that smart phones, iPods ® , car navigation systems, and many other devices are computers as well. The uses of computers are almost limitless in our everyday lives. Computers can do such a wide variety of things because they can be programmed. This means that computers are not designed to do just one job, but any job that their programs ..."
1.2 Computer Systems: Hardware and Software,33,"Computer Systems: Hardware and Software CONCEPT: All computer systems consist of similar hardware devices and software components. This section provides an overview of standard computer hardware and software organization. Figure 1-1 A word processing program and a presentation program 1.2 Computer Systems: Hardware and Software 3 Hardware Hardware refers to the physical components that a computer is made of. A computer, as we generally think of it, is not an individual device, but a system of devices. Like the instru- ments in a symphony orchestra, each device plays its own part. A typical computer system consists of the following major components: • The central processing unit (CPU) • Main memory • Secondary storage devices • Input devices • Output devices The organization of a computer system is depicted in Figure 1-2 . Input Devices Output Devices Secondary Storage Devices Central Processing Unit Main Memory (RAM) Figure 1-2 The CPU When a computer is performing the tasks that a ..."
1.3 Programs and Programming Languages,39,"Programs and Programming Languages CONCEPT: A program is a set of instructions a computer follows in order to perform a task. A programming language is a special language used to write computer programs. What Is a Program? Computers are designed to follow instructions. A computer program is a set of instructions that tells the computer how to solve a problem or perform a task. For example, suppose we want the computer to calculate someone’s gross pay. Here is a list of things the computer should do: 1. Display a message on the screen asking “How many hours did you work?” 2. Wait for the user to enter the number of hours worked. Once the user enters a number, store it in memory. 3. Display a message on the screen asking “How much do you get paid per hour?” 4. Wait for the user to enter an hourly pay rate. Once the user enters a number, store it in memory. 5. Multiply the number of hours by the amount paid per hour, and store the result in memory. 6. Display a message on the screen th..."
1.4 What Is a Program Made of?,45,"What Is a Program Made of? CONCEPT: There are certain elements that are common to all programming languages. Language Elements All programming languages have a few things in common. Table 1-2 lists the common ele- ments you will find in almost every language. Table 1-2 Language Element Description Key Words Words that have a special meaning. Key words may only be used for their intended purpose. Key words are also known as reserved words. Programmer-Defined Identifiers Words or names defined by the programmer. They are symbolic names that refer to variables or programming routines. Operators Operators perform operations on one or more operands. An operand is usually a piece of data, like a number. Punctuation Punctuation characters that mark the beginning or ending of a statement, or separate items in a list. Syntax Rules that must be followed when constructing a program. Syntax dictates how key words and operators may be used, and where punctuation symbols must appear. Let’s look a..."
"1.5 Input, Processing, and Output",48,"1.5 Input, Processing, and Output 17 In Figure 1-10 , the variable length is holding the value 72. The number 72 is actually stored in RAM at address 23, but the name length symbolically represents this storage location. If it helps, you can think of a variable as a box that holds information. In Figure 1-10 , the number 72 is stored in the box named length . Only one item may be stored in the box at any given time. If the program stores another value in the box, it will take the place of the number 72. Variable Definitions In programming, there are two general types of data: numbers and characters. Numbers are used to perform mathematical operations, and characters are used to print data on the screen or on paper. Numeric data can be categorized even further. For instance, the following are all whole numbers, or integers: 5 7 −129 32154 The following are real, or floating-point numbers: 3.14159 6.7 1.0002 When creating a variable in a C++ program, you must know what type of data th..."
1.6 The Programming Process,49,"The Programming Process CONCEPT: The programming process consists of several steps, which include design, creation, testing, and debugging activities. Designing and Creating a Program Now that you have been introduced to what a program is, it’s time to consider the process of creating a program. Quite often, when inexperienced students are given programming assignments, they have trouble getting started because they don’t know what to do first. If you find yourself in this dilemma, the steps listed in Figure 1-11 may help. These are the steps recommended for the process of writing a program. 1.6 The Programming Process 19 The steps listed in Figure 1-11 emphasize the importance of planning. Just as there are good ways and bad ways to paint a house, there are good ways and bad ways to create a program. A good program always begins with planning. With the pay-calculating program as our example, let’s look at each of the steps in more detail. 1. Clearly define what the program is to do..."
1.7 Procedural and Object-Oriented Programming,53,"Procedural and Object-Oriented Programming CONCEPT: Procedural programming and object-oriented programming are two ways of thinking about software development and program design. C++ is a language that can be used for two methods of writing computer programs: proce- dural programming and object-oriented programming . This book is designed to teach you some of both. In procedural programming, the programmer constructs procedures (or functions, as they are called in C++). The procedures are collections of programming statements that perform a specific task. The procedures each contain their own variables and commonly share vari- ables with other procedures. This is illustrated by Figure 1-13 . 1.7 Procedural and Object-Oriented Programming 23 Procedural programming is centered on the procedure, or function. Object-oriented pro- gramming (OOP), on the other hand, is centered on the object. An object is a programming element that contains data and the procedures that operate on the data..."
Review Questions and Exercises,55,"Review Questions and Exercises Short Answer 1. Both main memory and secondary storage are types of memory. Describe the differ- ence between the two. 2. What is the difference between system software and application software? 3. What type of software controls the internal operations of the computer’s hardware? 4. Why must programs written in a high-level language be translated into machine lan- guage before they can be run? 5. Why is it easier to write a program in a high-level language than in machine language? 6. Explain the difference between an object file and an executable file. 7. What is the difference between a syntax error and a logical error? Fill-in-the-Blank 8. Computers can do many different jobs because they can be __________. 9. The job of the __________ is to fetch instructions, carry out the operations com- manded by the instructions, and produce some outcome or resultant information. 10. Internally, the CPU consists of the __________ and the __________. 11. A(n) __..."
2.1 The Parts of a C++ Program,58,"The Parts of a C++ Program CONCEPT: C++ programs have parts and components that serve specific purposes. Every C++ program has an anatomy. Unlike human anatomy, the parts of C++ programs are not always in the same place. Nevertheless, the parts are there, and your first step in learning C++ is to learn what they are. We will begin by looking at Program 2-1 . Let’s examine the program line by line. Here’s the first line: // A simple C++ program The // marks the beginning of a comment . The compiler ignores everything from the double slash to the end of the line. That means you can type anything you want on that line and the compiler will never complain! Although comments are not required, they are very important to programmers. Most programs are much more complicated than the example in Program 2-1 , and comments help explain what’s going on. Introduction to C++ 2 TOPICS 2.1 The Parts of a C++ Program 2.2 The cout Object 2.3 The #include Directive 2.4 Variables and Literals 2.5 Ident..."
