prerequisite,topic
Introduction,1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES
The Language of a Computer,1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES
The Evolution of Programming Languages,1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES
The Language of a Computer,Introduction
Processing a C++ Program,Introduction
Elements of a Computer System,Central Processing Unit and Main Memory
Elements of a Computer System,Input /Output Devices
The Language of a Computer,Software
A Brief Overview of the History of Computers,Processing a C++ Program
Elements of a Computer System,Processing a C++ Program
The Language of a Computer,Processing a C++ Program
The Evolution of Programming Languages,Processing a C++ Program
Programming with the Problem Analysis–Coding–Execution Cycle,Structured Programming
Structured Programming,Object-Oriented Programming
The Evolution of Programming Languages,ANSI/ISO Standard C++
Processing a C++ Program,ANSI/ISO Standard C++
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,Quick Review
Elements of a Computer System,Quick Review
Input /Output Devices,Quick Review
Software,Quick Review
The Language of a Computer,Quick Review
Elements of a Computer System,Exercises
The Language of a Computer,Exercises
Processing a C++ Program,Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,2 BASIC ELEMENTS OF C++
The Language of a Computer,A C++ Program
Processing a C++ Program,A C++ Program
The Language of a Computer,The Basics of a C++ Program
Processing a C++ Program,The Basics of a C++ Program
The Language of a Computer,Comments
Processing a C++ Program,Comments
The Language of a Computer,Reserved Words (Keywords)
Processing a C++ Program,Reserved Words (Keywords)
The Language of a Computer,Identifiers
Processing a C++ Program,Identifiers
The Language of a Computer,Whitespaces
Processing a C++ Program,Whitespaces
The Language of a Computer,Data Types
Processing a C++ Program,Data Types
The Language of a Computer,Simple Data Types
Processing a C++ Program,Simple Data Types
A Brief Overview of the History of Computers,Floating-Point Data Types
Elements of a Computer System,Floating-Point Data Types
The Language of a Computer,Floating-Point Data Types
Processing a C++ Program,Floating-Point Data Types
The Language of a Computer,Arithmetic Operators and Operator Precedence
Processing a C++ Program,Arithmetic Operators and Operator Precedence
The Language of a Computer,Order of Precedence
Processing a C++ Program,Order of Precedence
Introduction,Expressions
The Language of a Computer,Expressions
The Language of a Computer,Mixed Expressions
Processing a C++ Program,Mixed Expressions
The Language of a Computer,Type Conversion (Casting)
Processing a C++ Program,Type Conversion (Casting)
The Language of a Computer,string Type
ANSI/ISO Standard C++,string Type
Central Processing Unit and Main Memory,Input
Input /Output Devices,Input
The Language of a Computer,Allocating Memory with Constants and Variables
Processing a C++ Program,Allocating Memory with Constants and Variables
The Language of a Computer,Assignment Statement
Processing a C++ Program,Assignment Statement
Processing a C++ Program,Saving and Using the Value of an Expression
Programming with the Problem Analysis–Coding–Execution Cycle,Saving and Using the Value of an Expression
Central Processing Unit and Main Memory,Declaring and Initializing Variables
The Language of a Computer,Declaring and Initializing Variables
Introduction,Input (Read) Statement
Processing a C++ Program,Input (Read) Statement
The Language of a Computer,Variable Initialization
Processing a C++ Program,Variable Initialization
Processing a C++ Program,Increment and Decrement Operators
Programming with the Problem Analysis–Coding–Execution Cycle,Increment and Decrement Operators
Elements of a Computer System,Output
Central Processing Unit and Main Memory,Output
Input /Output Devices,Output
The Language of a Computer,Output
Processing a C++ Program,Output
The Language of a Computer,Preprocessor Directives
Processing a C++ Program,Preprocessor Directives
Processing a C++ Program,namespace and Using cin and cout in a Program
ANSI/ISO Standard C++,namespace and Using cin and cout in a Program
The Language of a Computer,Using the string Data Type in a Program
Processing a C++ Program,Using the string Data Type in a Program
Processing a C++ Program,Creating a C++ Program
Programming with the Problem Analysis–Coding–Execution Cycle,Creating a C++ Program
Processing a C++ Program,Debugging: Understanding and Fixing Syntax Errors
Programming with the Problem Analysis–Coding–Execution Cycle,Debugging: Understanding and Fixing Syntax Errors
Processing a C++ Program,Program Style and Form
Programming with the Problem Analysis–Coding–Execution Cycle,Program Style and Form
Structured Programming,Program Style and Form
The Language of a Computer,Syntax
Processing a C++ Program,Syntax
The Language of a Computer,"Use of Semicolons, Brackets, and Commas"
Processing a C++ Program,"Use of Semicolons, Brackets, and Commas"
The Language of a Computer,Semantics
Processing a C++ Program,Semantics
The Language of a Computer,Prompt Lines
Processing a C++ Program,Prompt Lines
The Language of a Computer,Form and Style
Processing a C++ Program,Form and Style
The Language of a Computer,More on Assignment Statements
Processing a C++ Program,More on Assignment Statements
The Language of a Computer,Programming Example: Convert Length
Processing a C++ Program,Programming Example: Convert Length
The Language of a Computer,Programming Example: Make Change
Processing a C++ Program,Programming Example: Make Change
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
The Language of a Computer,Exercises
Processing a C++ Program,Exercises
Processing a C++ Program,Programming Exercises
Programming with the Problem Analysis–Coding–Execution Cycle,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,3 INPUT/OUTPUT
Input /Output Devices,3 INPUT/OUTPUT
Processing a C++ Program,3 INPUT/OUTPUT
Input /Output Devices,I/O Streams and Standard I/O Devices
Processing a C++ Program,I/O Streams and Standard I/O Devices
Processing a C++ Program,cin and the Extraction Operator >>
The Language of a Computer,cin and the Extraction Operator >>
Processing a C++ Program,Using Predefined Functions in a Program
Programming with the Problem Analysis–Coding–Execution Cycle,Using Predefined Functions in a Program
The Language of a Computer,cin and the get Function
Processing a C++ Program,cin and the get Function
The Language of a Computer,cin and the ignore Function
Processing a C++ Program,cin and the ignore Function
The Language of a Computer,The putback and peek Functions
Processing a C++ Program,The putback and peek Functions
Input /Output Devices,The Dot Notation between I/O Stream Variables and I/O Functions: A Precaution
Processing a C++ Program,The Dot Notation between I/O Stream Variables and I/O Functions: A Precaution
The Language of a Computer,Input Failure
Processing a C++ Program,Input Failure
The Language of a Computer,The clear Function
Processing a C++ Program,The clear Function
Input /Output Devices,Output and Formatting Output
The Language of a Computer,Output and Formatting Output
The Language of a Computer,setprecision Manipulator
Processing a C++ Program,setprecision Manipulator
Elements of a Computer System,fixed Manipulator
The Language of a Computer,fixed Manipulator
Processing a C++ Program,fixed Manipulator
The Language of a Computer,showpoint Manipulator
Processing a C++ Program,showpoint Manipulator
The Language of a Computer,setw
Processing a C++ Program,setw
Introduction,Additional Output Formatting Tools
The Language of a Computer,Additional Output Formatting Tools
Processing a C++ Program,Additional Output Formatting Tools
Input /Output Devices,setfill Manipulator
The Language of a Computer,setfill Manipulator
Input /Output Devices,left and right Manipulators
The Language of a Computer,left and right Manipulators
Input /Output Devices,Input/Output and the string Type
The Language of a Computer,Input/Output and the string Type
Processing a C++ Program,Debugging: Understanding Logic Errors and Debugging with cout Statements
Programming with the Problem Analysis–Coding–Execution Cycle,Debugging: Understanding Logic Errors and Debugging with cout Statements
Input /Output Devices,File Input/Output
Software,File Input/Output
The Language of a Computer,Programming Example: Movie Tickets Sale and Donation to Charity
Processing a C++ Program,Programming Example: Movie Tickets Sale and Donation to Charity
Processing a C++ Program,Programming Example: Student Grade
Programming with the Problem Analysis–Coding–Execution Cycle,Programming Example: Student Grade
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
Input /Output,Exercises
Processing a C++ Program,Programming Exercises
The Language of a Computer,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,4 CONTROL STRUCTURES I (SELECTION)
Processing a C++ Program,4 CONTROL STRUCTURES I (SELECTION)
The Language of a Computer,Control Structures
Processing a C++ Program,Control Structures
The Language of a Computer,Relational Operators
Processing a C++ Program,Relational Operators
The Language of a Computer,Relational Operators and Simple Data Types
Processing a C++ Program,Relational Operators and Simple Data Types
The Language of a Computer,Comparing Characters
The Evolution of Programming Languages,Comparing Characters
The Language of a Computer,Relational Operators and the string Type
Processing a C++ Program,Relational Operators and the string Type
The Language of a Computer,Logical (Boolean) Operators and Logical Expressions
Processing a C++ Program,Logical (Boolean) Operators and Logical Expressions
The Language of a Computer,Order of Precedence
Processing a C++ Program,Order of Precedence
The Language of a Computer,int Data Type and Logical (Boolean) Expressions
